Food_code,Food_name,E_kcal,Prot_g,RAE_μg,VitC_mg,Thiamin_mg,Riboflavin_mg,Nia_mg,Fol_μg,VitB12_μg,Ca_mg,Fe_mg,Zn_mg
MZF0001,"beer, regular,43,0.5,0,0.0,0.01,0.03,0.51,6,0.02",43,0.5,0,0.0,0.01,0.03,0.51,6,0.02,4,0.02,0.01
MZF0002,"carbonated beverage, orange,50,0.0,0,0.0,0.00,0.00,0.00,0,0.00",50,0.0,0,0.0,0.00,0.00,0.00,0,0.00,5,0.06,0.10
MZF0003,"coffee, instant, prepared with water,3,0.1,0,0.0,0.00,0.00,0.24,0",3,0.1,0,0.0,0.00,0.00,0.24,0,0.00,4,0.04,0.01
MZF0004,"cola, carbonated, contains caffeine,39,0.1,0,0.0,0.00,0.00,0.00,0",39,0.1,0,0.0,0.00,0.00,0.00,0,0.00,2,0.11,0.02
MZF0005,"juice, Davita, powder, prepared with water,10,0.0,0,30.0,0.00,0.00,0.00",10,0.0,0,30.0,0.00,0.00,0.00,0,0.00,10,0.00,0.00
MZF0006,"juice, Jolly Jus, powder, artificially sweetened, prepared with water,1,0.0,0,10.0,0.00,0.00",1,0.0,0,10.0,0.00,0.00,0.00,0,0.00,0,0.00,0.00
MZF0008,"juice, mango, unsweetened,54,0.5,104,40.0,0.05,0.02,0.54,31",54,0.5,104,40.0,0.05,0.02,0.54,31,0.00,7,0.15,0.05
MZF0009,"juice, orange, unsweetened,43,0.5,2,39.0,0.08,0.02,0.20,20",43,0.5,2,39.0,0.08,0.02,0.20,20,0.00,10,0.20,
MZF0010,"juice, pineapple, unsweetened,49,0.3,2,11.0,0.06,0.01,0.10,8",49,0.3,2,11.0,0.06,0.01,0.10,8,0.00,8,0.20,0.10
MZF0007,"juice, powder, prepared with water, average,6,0.0,0,20.0,0.00,0.00,0.00",6,0.0,0,20.0,0.00,0.00,0.00,0,0.00,5,0.00,0.00
