District,Category,Male,Female
nchinji,Calcium (mg.),89.85831076280914,90.01724427500534
nchinji,Folate (mcg.),83.87065996429598,85.6130003342559
nchinji,Iron (mg.),96.89249529635136,97.28396206643276
nchinji,Kilocalories (kcal),87.70837661968585,88.51209611000574
nchinji,Niacin (mg.),69.73764992888239,65.25020080454205
nchinji,Proteins (g.),96.14961566892326,96.53934635568072
nchinji,Riboflavin (mg.),51.99427697443429,51.02764104828859
nchinji,Thiamin (mg.),90.66863185548854,90.43574913284644
nchinji,Vitamin A (mcg.),51.90776384393567,60.48444666481928
nchinji,Vitamin B12 (mcg.),26.66658528096754,19.94009423816891
nchinji,Vitamin B6 (mg.),89.79221018185308,88.67833899212219
nchinji,Vitamin C (mg.),89.09451689824937,94.86621166181364
nchinji,Zinc (mg.),86.63430493460238,87.13440627556592
zomba,Calcium (mg.),95.885363741636,95.5681322684984
zomba,Folate (mcg.),82.98494704874413,87.1021479044134
zomba,Iron (mg.),98.56157269898468,99.02996111747908
zomba,Kilocalories (kcal),88.56170434406157,91.45369709737452
zomba,Niacin (mg.),69.01607029575788,71.8701921032863
zomba,Proteins (g.),97.33225381094188,97.7774952318529
zomba,Riboflavin (mg.),55.3592163021202,62.47774317858627
zomba,Thiamin (mg.),95.45539234474816,97.89857330250172
zomba,Vitamin A (mcg.),51.73686616927955,54.10809686016495
zomba,Vitamin B12 (mcg.),33.50870238828558,27.4440119439525
zomba,Vitamin B6 (mg.),92.3354554272654,95.59859832476997
zomba,Vitamin C (mg.),92.8607934152466,93.68894914655256
zomba,Zinc (mg.),92.32492535129973,93.98614142388398
blantyre city,Calcium (mg.),97.92475939061222,99.05076228563308
blantyre city,Folate (mcg.),86.65975658993312,91.79763368912356
blantyre city,Iron (mg.),99.15387501377334,99.42363512673234
blantyre city,Kilocalories (kcal),91.78037443609352,95.20700700266794
blantyre city,Niacin (mg.),75.70469749939801,85.2628208478546
blantyre city,Proteins (g.),97.7663727491425,99.94825935003492
blantyre city,Riboflavin (mg.),64.02769670211956,67.5114340019838
blantyre city,Thiamin (mg.),93.44519282313668,94.91079643420346
blantyre city,Vitamin A (mcg.),67.13518478488433,69.41884466883283
blantyre city,Vitamin B12 (mcg.),60.49793704175494,61.6579638579645
blantyre city,Vitamin B6 (mg.),92.8386974255731,96.55343537424388
blantyre city,Vitamin C (mg.),95.32399226759138,97.24175298988024
blantyre city,Zinc (mg.),92.70852087518924,96.68439181489792
dedza,Calcium (mg.),87.2226877115105,91.65010809116588
dedza,Folate (mcg.),76.70205903232464,83.36231871621924
dedza,Iron (mg.),96.61285848817543,98.1306497341017
dedza,Kilocalories (kcal),83.4337513727714,84.98920400025165
dedza,Niacin (mg.),67.53562857566403,70.0162274365037
dedza,Proteins (g.),95.09830412579666,94.981002859863
dedza,Riboflavin (mg.),50.37632602862441,53.31584647100328
dedza,Thiamin (mg.),91.84624759758438,93.25094934688892
dedza,Vitamin A (mcg.),48.07673681028344,43.99363535358553
dedza,Vitamin B12 (mcg.),23.00349959397156,18.04579376824287
dedza,Vitamin B6 (mg.),88.34167205954404,89.84876394075097
dedza,Vitamin C (mg.),89.431809257639,88.85497733815875
dedza,Zinc (mg.),85.02408611735831,87.11843200985638
nsanje,Calcium (mg.),93.7358618503187,94.1691144282939
nsanje,Folate (mcg.),89.44491952232076,92.16168374579544
nsanje,Iron (mg.),99.0223104998492,99.23440008694918
nsanje,Kilocalories (kcal),83.76366952376125,88.6784051011385
nsanje,Niacin (mg.),67.26891012503938,71.46641699140748
nsanje,Proteins (g.),97.16045946900395,98.22515089083672
nsanje,Riboflavin (mg.),61.07437067639424,65.47643929824466
nsanje,Thiamin (mg.),95.96501112431588,98.36764882374004
nsanje,Vitamin A (mcg.),49.20559239598668,46.39147149993144
nsanje,Vitamin B12 (mcg.),44.19108540865474,35.54511583647409
nsanje,Vitamin B6 (mg.),92.41868307830568,97.03055779911443
nsanje,Vitamin C (mg.),86.61515596962805,85.13255433244137
nsanje,Zinc (mg.),88.57850807400447,93.36332442357138
salima,Calcium (mg.),90.54447056997462,93.6956451756894
salima,Folate (mcg.),81.14598719903671,84.39664112189986
salima,Iron (mg.),97.61559477432333,98.38406965825102
salima,Kilocalories (kcal),84.03325010822081,82.92477875656965
salima,Niacin (mg.),69.46501099488457,69.59761389786523
salima,Proteins (g.),95.85926954828936,98.03778699687186
salima,Riboflavin (mg.),55.64358627199239,55.34189827103594
salima,Thiamin (mg.),94.93985142028768,94.8847362342193
salima,Vitamin A (mcg.),50.82954241341037,58.00385038998674
salima,Vitamin B12 (mcg.),34.2288440435603,26.68570104458931
salima,Vitamin B6 (mg.),89.81541577192435,92.03692380487206
salima,Vitamin C (mg.),90.74918123865712,89.53615205921416
salima,Zinc (mg.),87.8757970284654,91.96902385113223
blantyre,Calcium (mg.),95.336752842033,96.36627087044096
blantyre,Folate (mcg.),86.88496361219939,85.8538431430953
blantyre,Iron (mg.),99.18399084706036,99.51804170609115
blantyre,Kilocalories (kcal),87.97541505165135,88.09189206443942
blantyre,Niacin (mg.),69.48985309075887,66.7367342664018
blantyre,Proteins (g.),97.3222607731812,96.68046246799528
blantyre,Riboflavin (mg.),59.30578408436742,56.07757702383003
blantyre,Thiamin (mg.),94.4268982523933,94.19400514718578
blantyre,Vitamin A (mcg.),55.61832416067561,53.35615894851112
blantyre,Vitamin B12 (mcg.),37.62544728515144,23.84292419649539
blantyre,Vitamin B6 (mg.),91.55128444854331,91.21561298025848
blantyre,Vitamin C (mg.),93.14198574045778,91.69474608281168
blantyre,Zinc (mg.),92.15041899790204,91.59818555513928
thyolo,Calcium (mg.),96.85002539577812,98.57939750282785
thyolo,Folate (mcg.),89.3377004783052,92.53668516901622
thyolo,Iron (mg.),99.62822856035446,99.62688307050972
thyolo,Kilocalories (kcal),88.77737269171307,90.96536873085805
thyolo,Niacin (mg.),71.37767516220867,75.39808167531856
thyolo,Proteins (g.),96.40805574852033,97.95161999575164
thyolo,Riboflavin (mg.),61.59550626637849,67.36878856251604
thyolo,Thiamin (mg.),95.80955331991764,98.08034016144568
thyolo,Vitamin A (mcg.),55.7356868609447,57.64890385781951
thyolo,Vitamin B12 (mcg.),31.98494276945672,28.83921772495297
thyolo,Vitamin B6 (mg.),93.19980769918982,95.84134424867626
thyolo,Vitamin C (mg.),91.41596415905076,92.77364387481832
thyolo,Zinc (mg.),92.44838552118225,95.5429361463371
mzimba,Calcium (mg.),94.57708724925838,96.56540580461908
mzimba,Folate (mcg.),84.80509023422854,90.12699924858303
mzimba,Iron (mg.),98.322759132569,98.41020727413432
mzimba,Kilocalories (kcal),87.7120627540793,90.52290873695364
mzimba,Niacin (mg.),68.37458108620349,71.16596560319084
mzimba,Proteins (g.),96.05452945400134,97.01288162856032
mzimba,Riboflavin (mg.),55.95818049325859,57.05447145642017
mzimba,Thiamin (mg.),87.5207412181782,91.56629286027068
mzimba,Vitamin A (mcg.),61.53334698504435,59.29623337775114
mzimba,Vitamin B12 (mcg.),44.03671427164414,36.95547245676827
mzimba,Vitamin B6 (mg.),89.18527832236799,92.12662142416208
mzimba,Vitamin C (mg.),93.71485029761756,94.26072379834628
mzimba,Zinc (mg.),87.234451173866,90.01984350764877
kasungu,Calcium (mg.),91.51539422301646,91.40785939968384
kasungu,Folate (mcg.),82.65914376464066,85.63850910819716
kasungu,Iron (mg.),98.0767464919467,98.99878189550108
kasungu,Kilocalories (kcal),87.42296774535536,86.44498151455056
kasungu,Niacin (mg.),66.26983773332104,66.3594398422814
kasungu,Proteins (g.),97.32598032553253,95.51323537786404
kasungu,Riboflavin (mg.),51.54773419863392,55.25589049237928
kasungu,Thiamin (mg.),91.86986537135633,89.47246978344722
kasungu,Vitamin A (mcg.),49.67744406422262,47.30883959290966
kasungu,Vitamin B12 (mcg.),26.27317854326395,15.20891073910068
kasungu,Vitamin B6 (mg.),89.45963213271544,89.38710987472865
kasungu,Vitamin C (mg.),86.68231980371583,80.73057410998236
kasungu,Zinc (mg.),85.3403529766598,84.15242077966947
likoma,Calcium (mg.),98.88225541231644,92.99235557159116
likoma,Folate (mcg.),79.76063648545112,81.2650246772676
likoma,Iron (mg.),100.0,100.0
likoma,Kilocalories (kcal),94.31242929461408,92.82519300958693
likoma,Niacin (mg.),65.29602208767668,63.94037918448841
likoma,Proteins (g.),98.07969790809244,96.55000076683515
likoma,Riboflavin (mg.),59.53090056044378,69.39700881924061
likoma,Thiamin (mg.),91.04460683029863,97.43398207545546
likoma,Vitamin A (mcg.),29.01111674832849,27.83060499112694
likoma,Vitamin B12 (mcg.),54.53943935489298,34.21566835168733
likoma,Vitamin B6 (mg.),92.01874787520605,94.14306529441194
likoma,Vitamin C (mg.),91.27373146442216,80.66507415357913
likoma,Zinc (mg.),87.95179046688303,87.73941279754625
chitipa,Calcium (mg.),93.50724892942088,94.79741529820204
chitipa,Folate (mcg.),92.32101941355884,93.49378756738898
chitipa,Iron (mg.),97.09225632826076,96.90806484313669
chitipa,Kilocalories (kcal),89.92788979743814,90.48256253522736
chitipa,Niacin (mg.),77.04682483307572,81.61385888264364
chitipa,Proteins (g.),96.77759684607555,97.97148559690989
chitipa,Riboflavin (mg.),60.38752740014901,66.44903090557857
chitipa,Thiamin (mg.),92.56369084047957,93.61303155546732
chitipa,Vitamin A (mcg.),61.35913280639999,61.16045616181474
chitipa,Vitamin B12 (mcg.),36.13384282373144,35.7099831206265
chitipa,Vitamin B6 (mg.),94.06852255527336,94.48050223731347
chitipa,Vitamin C (mg.),94.26911827707288,92.24929571672344
chitipa,Zinc (mg.),91.07023580815954,92.27402891225448
lilongwe,Calcium (mg.),92.89054902876364,92.28065818675056
lilongwe,Folate (mcg.),80.62344158822869,83.31120395012714
lilongwe,Iron (mg.),98.20117143773484,98.37280675498612
lilongwe,Kilocalories (kcal),84.91912276577993,84.77796181973395
lilongwe,Niacin (mg.),67.66389378343595,69.38223635137638
lilongwe,Proteins (g.),96.209540151888,95.4880021928287
lilongwe,Riboflavin (mg.),51.89417351395744,53.81562421671876
lilongwe,Thiamin (mg.),93.23399385583296,93.63439882766492
lilongwe,Vitamin A (mcg.),52.32734081031536,59.57356755761636
lilongwe,Vitamin B12 (mcg.),26.4703676821363,14.47701785572437
lilongwe,Vitamin B6 (mg.),90.27496240648044,91.64852603551506
lilongwe,Vitamin C (mg.),89.89749650397776,93.15534875047516
lilongwe,Zinc (mg.),87.99856120068345,90.11692111269062
rumphi,Calcium (mg.),98.62237601624852,93.3867623926686
rumphi,Folate (mcg.),91.9453136614038,86.69540821005484
rumphi,Iron (mg.),99.80161065534894,99.18110585668668
rumphi,Kilocalories (kcal),94.2322231688151,87.57722296285255
