country,intervention,year,baseline_coverage,delta_coverage_pp,scenario_coverage,adequacy_uplift_points
Ghana,diarrhea_zinc,2018,38.38,6.0,44.38,2.4000000000000004
Ghana,iodised_salt,2015,63.77333333333333,7.0,70.77333333333334,4.8999999999999995
Ghana,iron_supp,2014,24.107142857142858,8.0,32.10714285714286,4.0
Ghana,iron_tablets,2014,91.95333333333333,5.0,96.95333333333333,1.5
Ghana,vit_a,2018,45.0,10.0,55.0,6.0
Malawi,diarrhea_zinc,2016,28.33846153846154,10.0,38.338461538461544,4.0
Malawi,iodised_salt,2015,78.634,5.0,83.634,3.5
Malawi,iron_supp,2015,11.528571428571428,10.0,21.52857142857143,5.0
Malawi,iron_tablets,2015,89.78666666666666,5.0,94.78666666666666,1.5
Malawi,vit_a,2018,75.0,15.0,90.0,9.0
